"Transaction Date","Serial","Action","Description","Amount","Open date","Opening","Closing","P/L","Status","Balance","Currency"
"24/07/2025 09:30:56","1564146","Fund payable","Currency conversion from CAD-C to GBP-C @ 0.539572",,"24/07/2025 09:30:56","0","0","-79",,"0","CAD"
"24/07/2025 09:30:56","47745470","Trade Receivable","GBP/CAD","-1","24/07/2025 08:37:37","1.84494","1.84415","79",,"79","CAD"
"24/07/2025 09:30:56","1651954","Fund receivable","Currency conversion to GBP-C from CAD-C @ 0.539572",,"24/07/2025 09:30:56","0","0","42.63",,"-2107.75","GBP"
"24/07/2025 09:30:45","1651953","Fund receivable","Currency conversion to GBP-C from AUD-C @ 0.485498",,"24/07/2025 09:30:45","0","0","54.38",,"-2150.38","GBP"
"24/07/2025 09:30:45","47745467","Trade Receivable","GBP/AUD","-1","24/07/2025 09:21:46","2.05064","2.04952","112",,"112","AUD"
"24/07/2025 09:30:45","1564145","Fund payable","Currency conversion from AUD-C to GBP-C @ 0.485498",,"24/07/2025 09:30:45","0","0","-112",,"0","AUD"
"24/07/2025 09:12:41","1651947","Fund receivable","Currency conversion to AUD-C from GBP-C @ 2.041521",,"24/07/2025 09:12:41","0","0","100",,"0","AUD"
"24/07/2025 09:12:41","47745250","Trade Payable","GBP/AUD","-1","24/07/2025 08:04:54","2.05086","2.05186","-100",,"-100","AUD"
"24/07/2025 09:12:41","1564139","Fund payable","Currency conversion from GBP-C to AUD-C @ 2.041521",,"24/07/2025 09:12:41","0","0","-48.98",,"-2204.75","GBP"
"24/07/2025 08:36:38","1651936","Fund receivable","Currency conversion to GBP-C from CAD-C @ 0.539218",,"24/07/2025 08:36:38","0","0","37.21",,"-2155.77","GBP"
"24/07/2025 08:36:38","47744627","Trade Receivable","GBP/CAD","-1","24/07/2025 07:57:29","1.84605","1.84536","69",,"69","CAD"
"24/07/2025 08:36:38","1564128","Fund payable","Currency conversion from CAD-C to GBP-C @ 0.539218",,"24/07/2025 08:36:38","0","0","-69",,"0","CAD"
"24/07/2025 07:52:18","1651920","Fund receivable","Currency conversion to CAD-C from GBP-C @ 1.836964",,"24/07/2025 07:52:18","0","0","60",,"0","CAD"
"24/07/2025 07:52:18","47743761","Trade Payable","GBP/CAD","-1","24/07/2025 07:42:31","1.84569","1.84629","-60",,"-60","CAD"
"24/07/2025 07:52:18","1564112","Fund payable","Currency conversion from GBP-C to CAD-C @ 1.836964",,"24/07/2025 07:52:18","0","0","-32.66",,"-2192.97","GBP"
"24/07/2025 07:40:11","1564110","Fund payable","Currency conversion from GBP-C to AUD-C @ 2.041262",,"24/07/2025 07:40:11","0","0","-49.97",,"-2160.31","GBP"
"24/07/2025 07:40:11","47743726","Trade Payable","GBP/AUD","-1","24/07/2025 07:31:49","2.05058","2.0516","-102",,"-102","AUD"
"24/07/2025 07:40:11","1651918","Fund receivable","Currency conversion to AUD-C from GBP-C @ 2.041262",,"24/07/2025 07:40:11","0","0","102",,"0","AUD"
"24/07/2025 07:14:21","1651915","Fund receivable","Currency conversion to AUD-C from GBP-C @ 2.040825",,"24/07/2025 07:14:21","0","0","66",,"0","AUD"
"24/07/2025 07:14:21","47743625","Trade Payable","GBP/AUD","-1","24/07/2025 07:12:24","2.0505","2.05116","-66",,"-66","AUD"
"24/07/2025 07:14:21","1564107","Fund payable","Currency conversion from GBP-C to AUD-C @ 2.040825",,"24/07/2025 07:14:21","0","0","-32.34",,"-2110.34","GBP"
"24/07/2025 07:07:57","47743601","Trade Payable","GBP/AUD","-1","24/07/2025 07:02:07","2.05023","2.051","-77",,"-77","AUD"
"24/07/2025 07:07:57","1651914","Fund receivable","Currency conversion to AUD-C from GBP-C @ 2.040665",,"24/07/2025 07:07:57","0","0","77",,"0","AUD"
"24/07/2025 07:07:57","1564106","Fund payable","Currency conversion from GBP-C to AUD-C @ 2.040665",,"24/07/2025 07:07:57","0","0","-37.73",,"-2078","GBP"
"23/07/2025 16:56:07","47741428","Trade Payable","EUR/GBP","-1","23/07/2025 16:15:34","0.86497","0.8658","-83",,"-2040.27","GBP"
"23/07/2025 16:55:06","1651578","Fund receivable","Currency conversion to GBP-C from JPY-C @ 0.005008",,"23/07/2025 16:55:06","0","0","78.12",,"-1957.27","GBP"
"23/07/2025 16:55:06","1563770","Fund payable","Currency conversion from JPY-C to GBP-C @ 0.005008",,"23/07/2025 16:55:06","0","0","-15600",,"0","JPY"
"23/07/2025 16:55:06","47741403","Trade Receivable","GBP/JPY","1","23/07/2025 16:34:24","198.52","198.676","15600",,"15600","JPY"
"23/07/2025 16:21:34","47741011","Trade Receivable","GBP/JPY","1","23/07/2025 16:09:52","198.511","198.621","11000",,"11000","JPY"
"23/07/2025 16:21:34","1651574","Fund receivable","Currency conversion to GBP-C from JPY-C @ 0.005009",,"23/07/2025 16:21:34","0","0","55.1",,"-2035.39","GBP"
"23/07/2025 16:21:34","1563766","Fund payable","Currency conversion from JPY-C to GBP-C @ 0.005009",,"23/07/2025 16:21:34","0","0","-11000",,"0","JPY"
"23/07/2025 15:57:06","47740657","Trade Receivable","EUR/GBP","-1","23/07/2025 15:50:45","0.86556","0.86534","22",,"-2090.49","GBP"
"23/07/2025 15:41:40","47740322","Trade Receivable","EUR/GBP","-1","23/07/2025 15:30:05","0.8658","0.8657","10",,"-2112.49","GBP"
"23/07/2025 15:23:18","1563754","Fund payable","Currency conversion from JPY-C to GBP-C @ 0.005013",,"23/07/2025 15:23:18","0","0","-3300",,"0","JPY"
"23/07/2025 15:23:18","1651562","Fund receivable","Currency conversion to GBP-C from JPY-C @ 0.005013",,"23/07/2025 15:23:18","0","0","16.54",,"-2122.49","GBP"
"23/07/2025 15:23:18","47739974","Trade Receivable","GBP/JPY","1","23/07/2025 15:21:45","198.45","198.483","3300",,"3300","JPY"
"23/07/2025 15:11:14","47739667","Trade Receivable","GBP/JPY","1","23/07/2025 15:05:59","198.426","198.483","5700",,"5700","JPY"
"23/07/2025 15:11:14","1651560","Fund receivable","Currency conversion to GBP-C from JPY-C @ 0.005013",,"23/07/2025 15:11:14","0","0","28.57",,"-2139.04","GBP"
"23/07/2025 15:11:14","1563752","Fund payable","Currency conversion from JPY-C to GBP-C @ 0.005013",,"23/07/2025 15:11:14","0","0","-5700",,"0","JPY"
